スポット名,口コミ数
横浜中華街,9462
みなとみらい21,5442
横浜赤レンガ倉庫［1号館及び2号館］,4664
山下公園,3916
横浜・八景島シーパラダイス,3326
横浜ランドマークタワー,3119
よこはまコスモワールド,2732
野毛山動物園,2226
横浜港大さん橋国際客船ターミナル,2131
新横浜ラーメン博物館,2060
横浜アンパンマンこどもミュージアム,1897
横浜ワールドポーターズ,1761
よこはま動物園ズーラシア,1520
元町商店街,1342
シーバス,1311
横浜スタジアム,1120
三溪園,973
港の見える丘公園,967
横浜みなとみらい　万葉倶楽部,938
クイーンズスクエア横浜,672
横浜公園のチューリップ,639
カップヌードルミュージアム,617
横浜アリーナ,589
こどもの国,586
キリン横浜ビアビレッジ,570
神奈川県民ホール,514
横浜ベイクォーター,499
陶芸教室ダルン,477
根岸森林公園,471
日産グローバル本社ギャラリー,449
Somm Jewelry,429
馬車道,416
三井アウトレットパーク横浜ベイサイド,400
横浜桜木町ワシントンホテル　DINING＆BAR　BAYSIDE,393
相鉄ムービル,379
横浜人形の家,378
ローズホテル横浜 ブラスリーミリーラ・フォーレ,372
横浜美術館,359
横浜開港資料館,337
日産スタジアム（横浜国際総合競技場）,336
県立四季の森公園,334
日本大通り,330
横浜大世界アートリックミュージアム,329
「スヌーピータウンショップ」横浜店,314
海の公園,308
マリーンルージュ,306
横浜国際プール,295
ロイヤルウイング,288
横浜市立金沢動物園,285
はまぎん こども宇宙科学館,280
横浜・八景島シーパラダイス　アクアリゾーツ,279
アカネス横浜,252
こども自然公園,251
弘明寺,243
MARK IS みなとみらい,239
スパ・リブール　ヨコハマ,234
三菱みなとみらい技術館,220
IKEA港北,218
横浜ランドマークタワー　69階展望フロア　スカイガーデン,216
三ツ池公園,213
横浜公園,203
新横浜プリンスペペ,202
そごう美術館,197
野毛山公園,187
原鉄道模型博物館,186
クィーンズスクエア横浜,183
水上バス,183
大通り公園,173
スカイスパ　YOKOHAMA,168
インスパ横浜,167
ららぽーと横浜,164
総持寺,162
SPA EAS(スパ イアス),161
トレッサ横浜,159
ニューオータニイン横浜プレミアム　レストラン　THE　sea,157
横浜市開港記念会館,155
新横浜プリンスホテル,154
キュービックプラザ新横浜,151
保土ヶ谷公園,143
汽車道（港１号・２号・３号橋梁旧臨港線護岸）,140
横浜ベイサイドマリーナ,140
横浜イングリッシュガーデン,140
ウチキパン,139
東急ハンズ　横浜店,139
神奈川県立歴史博物館,138
横浜博覧館,137
日本丸メモリアルパーク（旧横浜船渠第1号ドック）,133
本牧市民公園,133
アメリカ山公園,133
臨港パーク,126
ジョイナス,125
ホテルニューグランド本館,124
伊勢山皇大神宮,121
本牧山頂公園,106
ヨコハマおもしろ水族館,102
横浜市歴史博物館,100
外交官の家,100
港の見える丘公園 ローズガーデン,97
リザーブドクルーズ,97
秋本農園,93
日本郵船歴史博物館,93
RAKU SPA 鶴見,92
久良岐公園,90
寺家ふるさと村,90
六角橋商店街,90
フィールドアスレチック横浜つくし野コース,88
横浜ベイシェラトン ホテル＆タワーズ,87
ドックヤードガーデン（旧横浜船渠第２号ドック）,87
エリスマン邸,85
ブリーズベイホテル　レストランアルページュ,83
スタージュエリー元町本店,82
モザイクモール港北,81
神奈川県庁本庁舎,81
神奈川県立境川遊水地公園,81
西方寺,78
ハードロックカフェ横浜,77
ゆめが丘農園,76
赤い靴はいてた女の子像,75
帆船日本丸･横浜みなと博物館,75
キタムラ元町本店,73
ハイカラ横丁,73
いせ辰,69
海芝公園,68
横浜市イギリス館（旧英国総領事公邸）,64
山手２３４番館,64
ぷかりさん橋,63
横浜指路教会,62
二宮いちご園,61
元町公園,60
日本郵船氷川丸,60
新横浜グレイスホテル,59
横浜成田山,59
ＪＲ新横浜駅,59
焼山,59
